DATE,INDPRO
1970-02-28,39.0488
1970-03-31,38.9981
1970-04-30,38.8979
1970-05-31,38.8525
1970-06-30,38.7269
1970-07-31,38.8219
1970-08-31,38.7527
1970-09-30,38.4856
1970-10-31,37.7157
1970-11-30,37.4873
1970-12-31,38.3482
1971-01-31,38.6432
1971-02-28,38.5695
1971-03-31,38.5278
1971-04-30,38.7441
1971-05-31,38.9407
1971-06-30,39.104
1971-07-31,38.9905
1971-08-31,38.7642
1971-09-30,39.3942
1971-10-31,39.6891
1971-11-30,39.8576
1971-12-31,40.3177
1972-01-31,41.2876
1972-02-29,41.6865
1972-03-31,41.9746
1972-04-30,42.4183
1972-05-31,42.3963
1972-06-30,42.5166
1972-07-31,42.498
1972-08-31,43.0629
1972-09-30,43.3918
1972-10-31,43.9718
1972-11-30,44.4919
1972-12-31,45.0015
1973-01-31,45.2942
1973-02-28,45.9656
1973-03-31,45.9872
1973-04-30,45.9237
1973-05-31,46.2192
1973-06-30,46.2509
1973-07-31,46.4421
1973-08-31,46.3648
1973-09-30,46.7803
1973-10-31,47.0954
1973-11-30,47.3445
1973-12-31,47.2315
1974-01-31,46.8994
1974-02-28,46.7538
1974-03-31,46.7685
1974-04-30,46.6069
1974-05-31,46.9743
1974-06-30,46.9233
1974-07-31,46.9464
1974-08-31,46.4907
1974-09-30,46.5136
1974-10-31,46.3401
1974-11-30,44.8209
1974-12-31,43.234
1975-01-31,42.6409
1975-02-28,41.6602
1975-03-31,41.2135
1975-04-30,41.246
1975-05-31,41.1515
1975-06-30,41.4224
1975-07-31,41.8234
1975-08-31,42.2573
1975-09-30,42.7796
1975-10-31,42.9687
1975-11-30,43.0614
1975-12-31,43.5973
1976-01-31,44.2288
1976-02-29,44.6725
1976-03-31,44.7125
1976-04-30,44.9643
1976-05-31,45.1741
1976-06-30,45.183
1976-07-31,45.4535
1976-08-31,45.7737
1976-09-30,45.9031
1976-10-31,45.9207
1976-11-30,46.5978
1976-12-31,47.0854
1977-01-31,46.8276
1977-02-28,47.5417
1977-03-31,48.131
1977-04-30,48.5838
1977-05-31,48.9891
1977-06-30,49.3428
1977-07-31,49.412
1977-08-31,49.4259
1977-09-30,49.6639
1977-10-31,49.7592
1977-11-30,49.8117
1977-12-31,49.8949
1978-01-31,49.2066
1978-02-28,49.4502
1978-03-31,50.3928
1978-04-30,51.4368
1978-05-31,51.6276
1978-06-30,51.9833
1978-07-31,51.9592
1978-08-31,52.1543
1978-09-30,52.286
1978-10-31,52.7054
1978-11-30,53.1047
1978-12-31,53.3886
1979-01-31,53.0453
1979-02-28,53.3303
1979-03-31,53.4973
1979-04-30,52.8938
1979-05-31,53.3187
1979-06-30,53.3157
1979-07-31,53.2433
1979-08-31,52.8899
1979-09-30,52.9486
1979-10-31,53.239
1979-11-30,53.1918
1979-12-31,53.2603
1980-01-31,53.5037
1980-02-29,53.5053
1980-03-31,53.3294
1980-04-30,52.2336
1980-05-31,50.9638
1980-06-30,50.3348
